gamma	3	1	11	compt	206.854	297.526	1268.58	0.0623679	0.0516111	0.0516111
gamma	3	1	12	compt	188.555	268.644	1276.07	0.0516111	0.0458722	0.0458722
gamma	3	1	13	compt	181.16	276.287	1275.6	0.0458722	0.0400687	0.0400687
gamma	3	1	14	compt	190.298	267.149	1293.84	0.0400687	0.0386742	0.0386742
gamma	3	1	1	compt	-30.9903	622.847	1316.67	2.22437	0.235284	0.235284
gamma	3	1	2	compt	-59.2359	608.328	1305.02	0.235284	0.188247	0.188247
gamma	3	1	3	compt	-62.7376	611.72	1299.24	0.188247	0.132229	0.132229
gamma	3	1	4	compt	-59.8147	621.049	1305.19	0.132229	0.110808	0.110808
gamma	3	1	5	compt	-76.4215	626.736	1313.98	0.110808	0.0829078	0.0829078
gamma	3	1	6	compt	-74.9015	614.045	1277.95	0.0829078	0.0638215	0.0638215
gamma	3	1	7	compt	-75.2112	661.882	1315.5	0.0638215	0.0515366	0.0515366
gamma	3	1	8	compt	-100.548	495.245	1271.09	0.0515366	0.0501386	0.0501386
gamma	3	1	9	compt	-95.2518	473.715	1280.48	0.0501386	0.0443561	0.0443561
gamma	3	1	10	compt	-101.099	489.99	1299.45	0.0443561	0.0413264	0.0413264
gamma	3	1	11	compt	-95.5071	492.141	1300.62	0.0413264	0.0376792	0.0376792
gamma	3	1	12	compt	-91.0699	478.546	1254.3	0.0376792	0.033627	0.033627
gamma	3	1	13	Rayl	-93.25	475.754	1258.61	0.033627	0.033627	0.033627
gamma	3	1	14	phot	-91.7561	432.219	1276.13	0.033627	0	0
gamma	3	1	1	compt	375.681	674.333	1306.5	2.22437	0.562233	0.562233
gamma	3	1	2	compt	376.703	670.384	1308.99	0.562233	0.459181	0.459181
gamma	6	4	1	phot	389.361	676.884	1307.6	0.0153443	0	0
gamma	3	1	1	compt	179.15	761.044	1233.99	2.22438	0.415294	0.415294
gamma	116	4	1	phot	183.248	762.777	1232.89	0.00310473	0	0
gamma	3	1	1	compt	21.1407	390.93	1326.87	2.22436	1.5027	1.5027
gamma	3	1	1	compt	-172.823	596.477	1257.63	2.22437	0.32379	0.32379
gamma	3	1	1	compt	17.4554	463.333	1233.73	2.22436	1.03031	1.03031
gamma	3	1	3	compt	20.8552	467.854	1195.19	1.03031	0.584775	0.584775
gamma	3	1	4	compt	-15.6652	472.177	1160.83	0.584775	0.392882	0.392882
gamma	3	1	5	compt	-10.8477	460.303	1111.11	0.392882	0.158319	0.158319
gamma	3	1	6	compt	-13.5813	461.932	1116.21	0.158319	0.116553	0.116553
gamma	3	1	7	compt	-10.9405	468.21	1114.32	0.116553	0.111636	0.111636
gamma	3	1	8	compt	8.66215	483.485	1092.32	0.111636	0.0945861	0.0945861
gamma	3	1	9	compt	18.0535	495.977	1104.18	0.0945861	0.0714846	0.0714846
gamma	3	1	10	compt	13.1124	490.527	1104.73	0.0714846	0.0708833	0.0708833
gamma	3	1	11	compt	-0.401323	481.997	1102.36	0.0708833	0.0593259	0.0593259
gamma	3	1	12	compt	2.16988	484.577	1096.78	0.0593259	0.0567292	0.0567292
gamma	3	1	13	compt	1.26013	455.793	1031.26	0.0567292	0.0504425	0.0504425
gamma	3	1	14	Rayl	-8.98947	452.152	1034.53	0.0504425	0.0504425	0.0504425
gamma	3	1	15	phot	-36.0635	442.627	1036.07	0.0504425	0	0
gamma	3	1	1	compt	-74.4374	697.904	1318.15	2.22437	0.593979	0.593979
gamma	3	1	2	compt	-76.0923	697.155	1316.33	0.593979	0.42674	0.42674
gamma	3	1	3	compt	-73.2101	686.607	1298.27	0.42674	0.350995	0.350995
gamma	3	1	4	compt	-39.1886	678.134	1269.12	0.350995	0.304419	0.304419
gamma	3	1	5	compt	-16.0601	696.561	1241.87	0.304419	0.253974	0.253974
gamma	3	1	6	compt	61.6234	893.024	1232.61	0.253974	0.143208	0.143208
gamma	3	1	7	compt	50.0626	890.213	1230.2	0.143208	0.125573	0.125573
gamma	3	1	8	compt	47.8893	888.331	1222.73	0.125573	0.106824	0.106824
gamma	3	1	9	compt	46.9894	890.363	1221.73	0.106824	0.102758	0.102758
gamma	3	1	10	compt	49.016	899.67	1219.5	0.102758	0.0936086	0.0936086
gamma	3	1	11	compt	54.641	901.368	1218.06	0.0936086	0.0935703	0.0935703
gamma	3	1	12	Rayl	115.377	924.309	1201.39	0.0935703	0.0935703	0.0935703
gamma	164	4	1	phot	-77.9504	698.008	1319.59	0.00636089	0	0
gamma	3	1	1	compt	28.5118	306.544	1312.67	2.22437	0.766842	0.766842
gamma	3	1	2	compt	19.4613	300.057	1314.07	0.766842	0.745608	0.745608
gamma	3	1	3	compt	7.77859	287.598	1315.92	0.745608	0.372424	0.372424
gamma	3	1	4	compt	-76.4075	310.211	1251.6	0.372424	0.156667	0.156667
gamma	3	1	5	compt	-68.7233	307.23	1253.03	0.156667	0.110406	0.110406
gamma	90	4	1	phot	37.3564	303.818	1321.45	0.0176442	0	0
gamma	6	1	1	phot	-71.2945	534.357	1195.19	0.00278302	0	0
gamma	5	1	1	phot	-71.2848	534.366	1195.18	0.00278302	0	0
gamma	3	1	1	compt	-72.3314	527.445	1178.98	0.477603	0.199655	0.199655
gamma	3	1	2	compt	-65.8956	521.078	1188.15	0.199655	0.11509	0.11509
gamma	3	1	3	compt	-78.8777	530.272	1134.96	0.11509	0.0991238	0.0991238
gamma	3	1	4	compt	-78.7084	528.886	1134.21	0.0991238	0.0735227	0.0735227
gamma	3	1	5	compt	-78.6978	528.923	1134.28	0.0735227	0.0675174	0.0675174
gamma	3	1	6	compt	-68.6728	529.389	1137.1	0.0675174	0.0620497	0.0620497
gamma	3	1	7	phot	-67.3264	537.322	1144.31	0.0620497	0	0
gamma	3	1	1	compt	129.579	630.825	1241.98	2.22437	0.963923	0.963923
gamma	3	1	2	compt	121.672	630.137	1225.19	0.963923	0.427331	0.427331
gamma	3	1	3	compt	117.346	647.48	1219.59	0.427331	0.32253	0.32253
gamma	3	1	4	compt	113.152	649.626	1213.14	0.32253	0.30748	0.30748
gamma	3	1	6	compt	76.8698	640.826	1150.75	0.30748	0.298783	0.298783
gamma	3	1	7	compt	54.8252	647.706	1119.56	0.298783	0.214782	0.214782
gamma	3	1	8	compt	55.1591	610.001	1091.69	0.214782	0.188048	0.188048
gamma	3	1	9	compt	61.9004	604.998	1088.56	0.188048	0.112719	0.112719
gamma	3	1	10	Rayl	48.5903	605.258	1098.98	0.112719	0.112719	0.112719
gamma	3	1	11	compt	36.682	605.01	1109.62	0.112719	0.103836	0.103836
gamma	3	1	12	compt	37.7434	600.159	1129.78	0.103836	0.0788368	0.0788368
gamma	3	1	13	compt	49.1527	638.227	1113.56	0.0788368	0.0769359	0.0769359
gamma	3	1	14	compt	47.1328	653.074	1113.68	0.0769359	0.0609681	0.0609681
gamma	3	1	15	phot	41.727	635.05	1126.94	0.0609681	0	0
gamma	3	1	2	compt	-145.687	671.192	1071.98	2.22437	0.982147	0.982147
gamma	3	1	3	compt	-142.655	661.57	1048.3	0.982147	0.934088	0.934088
