gamma	1	0	86	neutronInelastic	21.6057	409.592	1196.15	0.477602
Li7	1	0	86	neutronInelastic	21.6057	409.592	1196.15	0.832785
gamma	1	0	86	neutronInelastic	21.6057	409.592	1196.15	0.00382482
gamma	1	0	86	neutronInelastic	21.6057	409.592	1196.15	0.00382482
proton	1	0	21	neutronInelastic	-1779.21	841.221	2486.95	0.584278
C14	1	0	21	neutronInelastic	-1779.21	841.221	2486.95	0.04206
alpha	1	0	105	neutronInelastic	7.34971	408.222	1195.07	1.47241
gamma	1	0	105	neutronInelastic	7.34971	408.222	1195.07	0.476484
Li7	1	0	105	neutronInelastic	7.34971	408.222	1195.07	0.841612
alpha	1	0	87	neutronInelastic	-143.367	349.372	1192.41	1.47259
gamma	1	0	87	neutronInelastic	-143.367	349.372	1192.41	0.477602
Li7	1	0	87	neutronInelastic	-143.367	349.372	1192.41	0.835265
gamma	1	0	87	neutronInelastic	-143.367	349.372	1192.41	0.00252735
gamma	1	0	87	neutronInelastic	-143.367	349.372	1192.41	0.00252735
proton	1	0	24	neutronInelastic	126.243	525.795	2179.3	0.584232
C14	1	0	24	neutronInelastic	126.243	525.795	2179.3	0.0421057
alpha	1	0	55	neutronInelastic	-79.8056	344.586	1194.82	1.47238
gamma	1	0	55	neutronInelastic	-79.8056	344.586	1194.82	0.477602
Li7	1	0	55	neutronInelastic	-79.8056	344.586	1194.82	0.838952
alpha	1	0	161	neutronInelastic	-196.651	679.365	1191.25	1.47253
gamma	1	0	161	neutronInelastic	-196.651	679.365	1191.25	0.477602
Li7	1	0	161	neutronInelastic	-196.651	679.365	1191.25	0.834436
gamma	1	0	161	neutronInelastic	-196.651	679.365	1191.25	0.00296962
gamma	1	0	161	neutronInelastic	-196.651	679.365	1191.25	0.00296962
alpha	1	0	115	neutronInelastic	-108.181	640.461	1195.84	1.47227
gamma	1	0	115	neutronInelastic	-108.181	640.461	1195.84	0.477601
Li7	1	0	115	neutronInelastic	-108.181	640.461	1195.84	0.840502
alpha	1	0	168	neutronInelastic	52.5292	535.818	1195.89	1.47241
gamma	1	0	168	neutronInelastic	52.5292	535.818	1195.89	0.471071
Li7	1	0	168	neutronInelastic	52.5292	535.818	1195.89	0.846927
alpha	1	0	249	neutronInelastic	-1.36658	387.527	1196.02	1.47258
gamma	1	0	249	neutronInelastic	-1.36658	387.527	1196.02	0.477603
Li7	1	0	249	neutronInelastic	-1.36658	387.527	1196.02	0.839558
alpha	1	0	55	neutronInelastic	-300.196	457.679	1194.49	1.47235
gamma	1	0	55	neutronInelastic	-300.196	457.679	1194.49	0.477602
Li7	1	0	55	neutronInelastic	-300.196	457.679	1194.49	0.83922
alpha	1	0	172	neutronInelastic	141.935	459.934	1194.33	1.47249
gamma	1	0	172	neutronInelastic	141.935	459.934	1194.33	0.477602
